fold,accuracy,auc,f1,precision,recall
1,0.8333333333333334,0.9375,0.7142857142857143,0.8333333333333334,0.625
2,0.7916666666666666,0.7734375,0.7058823529411765,0.6666666666666666,0.75
3,0.9583333333333334,1.0,0.9411764705882353,0.8888888888888888,1.0
4,0.875,0.9296875,0.8235294117647058,0.7777777777777778,0.875
5,0.7083333333333334,0.7555555555555555,0.5882352941176471,0.625,0.5555555555555556
